PrimaryDI,gmdnPTName,gmdnPTDefinition
842209120666,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209120635,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209120604,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209120529,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209120468,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209120420,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209120383,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209120376,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209120345,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209120338,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209120314,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209120284,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209120277,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209120260,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209120253,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209120239,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209120208,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209120178,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209120024,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119882,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119806,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119783,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119660,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209119653,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119622,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119592,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209119585,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209119547,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119523,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119486,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209119417,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119295,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119288,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119271,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119202,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209119196,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119172,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119165,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119141,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209119134,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119103,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209119097,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209119080,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119073,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119028,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209119004,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209118984,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118953,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118915,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118854,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209118823,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209118816,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118809,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118779,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118755,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118748,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118724,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209118717,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209118649,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118533,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209118526,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209118519,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118502,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118496,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118472,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118465,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118458,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209118441,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209118434,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209118427,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209118410,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118403,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209118373,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118359,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118342,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118298,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118236,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118229,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118182,"Blood transfusion set, non-exchange","An intravascular administration set intended to be used to administer blood from a container to a patient's vascular system through a needle or catheter inserted into a vein. The device typically includes a needle or catheter, tubing, a flow regulator, a drip chamber, an infusion line filter, a stopcock, connectors between parts of the set, a side tube with a cap to serve as an injection site, and a hollow spike to penetrate and connect the tubing to an intravenous (IV) bag or other infusion fluid container. This is a single-use device."
842209118168,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118144,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118106,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209118090,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209118052,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209117970,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117963,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117956,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117949,"Cricothyrotomy kit, single-use","A collection of sterile devices designed to perform a cricothyrotomy (an incision through the skin and cricothyroid) providing airway access within seconds allowing for immediate ventilation of the patient and necessary suction procedures. It is used to open a patient's airway in emergency interventions, e.g., accidental blockage to the upper airway tract, and prior to tracheostomy. This is a single-use device."
842209117932,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117925,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117918,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117901,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209117895,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209117864,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117840,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117826,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209117819,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209117796,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209117765,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209117758,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209117741,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209117697,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209117680,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117673,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117543,"First aid kit, medicated","A convenient collection of equipment, materials and pharmaceuticals intended to be used in an emergency for the rapid, initial treatment of an injury. It is typically used by emergency medical services (EMS), hospitals, institutions, schools, and other public settings. This is a reusable device."
842209117444,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117437,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117420,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117369,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117345,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
842209117291,"First aid kit, non-medicated, single-use","A convenient collection of equipment and materials intended to be used in an emergency for the rapid, initial treatment of an injury. This device is typically used by emergency medical services (EMS), institutions, schools, the home, motor vehicles, and other public settings. This device does not contain medicinal substances/pharmaceuticals. This is a single-use device."
